raw x,raw y,year,month,cases/thousand,month_num
2010.082474,3.532061000,2010,jan,3.53,1
2010.155785,3.688219000,2010,feb,3.69,2
2010.247423,3.986254000,2010,mar,3.99,3
2010.329897,3.447393000,2010,apr,3.45,4
2010.412371,3.461724000,2010,may,3.46,5
2010.490263,3.887394000,2010,jun,3.89,6
2010.57732,4.185421000,2010,jul,4.19,7
2010.659794,3.334503000,2010,aug,3.33,8
2010.714777,2.62538100,2010,sep,2.63,9
2010.742268,2.04386900,2010,oct,2.04,10
2010.838488,1.575955000,2010,nov,1.58,11
2010.907216,2.696644000,2010,dec,2.70,12
2010.998855,3.335104000,2011,jan,3.34,1
2011.081329,4.20049900,2011,feb,4.20,2
2011.159221,3.590708000,2011,mar,3.59,3
2011.237113,3.193683000,2011,apr,3.19,4
2011.32417,2.810858000,2011,may,2.81,5
2011.402062,2.782628000,2011,jun,2.78,6
2011.489118,3.009732000,2011,jul,3.01,7
2011.576174,3.038256000,2011,aug,3.04,8
2011.667812,2.697993000,2011,sep,2.70,9
2011.832761,2.556441000,2011,oct,2.56,10
2011.915235,3.123963000,2011,nov,3.12,11
2011.983963,3.351035000,2011,dec,3.35,12
2012.084765,4.017881000,2012,jan,4.02,1
2012.167239,4.01802700,2012,feb,4.02,2
2012.249714,4.216755000,2012,mar,4.22,3
2012.33677,3.791377000,2012,apr,3.79,4
2012.414662,3.862437000,2012,may,3.86,5
2012.5063,3.649834000,2012,jun,3.65,6
2012.579611,3.508120000,2012,jul,3.51,7
2012.666667,3.451537000,2012,aug,3.45,8
2012.744559,2.941036000,2012,sep,2.94,9
2012.840779,2.927023000,2012,oct,2.93,10
2012.918671,3.834962000,2012,nov,3.83,11
2012.991982,4.445021000,2012,dec,4.45,12
2013.088202,4.899093000,2013,jan,4.90,1
2013.166094,4.133273000,2013,feb,4.13,2
2013.243986,4.175965000,2013,mar,4.18,3
2013.335624,4.147758000,2013,apr,4.15,4
2013.427262,4.006077000,2013,may,4.01,5
2013.500573,3.694150000,2013,jun,3.69,6
2013.587629,3.751042000,2013,jul,3.75,7
2013.674685,3.524246000,2013,aug,3.52,8
2013.738832,3.113012000,2013,sep,3.11,9
2013.839633,2.815318000,2013,oct,2.82,10
2013.899198,3.340247000,2013,nov,3.34,11
2014,4.375887000,2013,dec,4.38,12
2014.041237,4.631279000,2014,jan,4.63,1
2014.087056,4.886679000,2014,feb,4.89,2
2014.16953,4.645691000,2014,mar,4.65,3
2014.325315,4.390648000,2014,apr,4.39,4
2014.412371,4.163852000,2014,may,4.16,5
2014.504009,3.937064000,2014,jun,3.94,6
2014.604811,3.440789000,2014,jul,3.44,7
2014.664376,3.15720600,2014,aug,3.16,8
2014.74685,2.916218000,2014,sep,2.92,9
2014.833906,2.958925000,2014,oct,2.96,10
2014.925544,3.242776000,2014,nov,3.24,11
2014.985109,3.725151000,2014,dec,3.73,12
2015.067583,4.377779000,2015,jan,4.38,1
2015.168385,4.959518000,2015,feb,4.96,2
2015.342497,4.718692000,2015,mar,4.72,3
2015.434135,4.761408000,2015,apr,4.76,4
2015.507446,4.619694000,2015,may,4.62,5
2015.58992,4.563103000,2015,jun,4.56,6
2015.667812,4.32210600,2015,jul,4.32,7
2015.745704,4.123663000,2015,aug,4.12,8
2015.837342,4.067087000,2015,sep,4.07,9
2015.883162,4.804757000,2015,oct,4.80,10
2015.938144,5.755209000,2015,nov,5.76,11
2015.983963,6.691461000,2015,dec,6.69,12
2016.020619,7.18798000,2016,jan,7.19,1
2016.084765,7.939867000,2016,feb,7.94,2
2016.167239,7.897460000,2016,mar,7.90,3
2016.254296,6.762862000,2016,apr,6.76,4
2016.341352,6.606988000,2016,may,6.61,5
2016.419244,4.890814000,2016,jun,4.89,6
2016.501718,4.40869100,2016,jul,4.41,7
2016.584192,3.940752000,2016,aug,3.94,8
2016.666667,4.437352000,2016,sep,4.44,9
2016.749141,4.267286000,2016,oct,4.27,10
2016.840779,4.125604000,2016,nov,4.13,11
2016.909507,4.905868000,2016,dec,4.91,12
2017.024055,6.707489000,2017,jan,6.71,1
2017.092784,7.459384000,2017,feb,7.46,2
2017.17984,6.877978000,2017,mar,6.88,3
2017.266896,5.970331000,2017,apr,5.97,4
2017.353952,5.289635000,2017,may,5.29,5
2017.413517,4.736549000,2017,jun,4.74,6
2017.509737,4.268634000,2017,jul,4.27,7
2017.592211,3.658851000,2017,aug,3.66,8
2017.679267,3.488793000,2017,sep,3.49,9
2017.738832,3.120104000,2017,oct,3.12,10
2017.839633,2.850779000,2017,nov,2.85,11
,,,,,
